,Requestors,Titles,HITs,Reward,Created
524,Altsuss,Compensation HIT(~ 1 minutes),1,$0.50,2019-11-14 14:23:09.328376
525,UNIV CATOLICA PORTUGUESA NIF 501082522,Compensation HIT(~ 1 minutes),1,$0.50,2019-11-14 14:23:09.328380
526,Texas Research,Survey of Opinions (~ 10 minutes),1,$1.20,2019-11-15 14:23:09.328384
527,Maria Gendron,Understanding Emotions Study(~ 20 minutes),1,$1.64,2019-11-13 14:23:09.328389
528,Syntiant MTurk,Recording several phrases,1,$5.00,2019-11-13 14:23:09.328393
529,CoEvol Lab,Compensation HIT for A2BQYGEFPAHH9Z(~ 1 minutes),1,$0.75,2019-11-13 14:23:09.328397
530,Scabl,"Social Perceptions of Historical Places, Events, and Things(~ 10 minutes)",1,$1.00,2019-10-21 00:00:00
531,Scabl,"Social Perceptions of Historical Places, Events, and Things(~ 10 minutes)",1,$1.00,2019-10-21 00:00:00
532,V Job,Compensation HIT(~ 1 minutes),1,$4.50,2019-11-13 14:23:09.328426
533,Insights Lab,Compensation for HIT you completed today(~ 1 minutes),1,$0.60,2019-11-12 14:23:09.328431
534,Pallavi Babu,Compensation HIT for A1AZLJ3R5FQ9B7(~ 1 minutes),1,$1.80,2019-11-12 14:23:09.328435
535,SocialCognitionResearchCologne,Incentivized game & self perception task(~ 4 minutes),1,$0.40,2019-11-18 09:23:09.328440
536,CYF,"Do you think drivers have a preferential route between two frequently visited locations (e.g., home, work)?",1,$0.01,2019-11-12 14:23:09.328445
537,Jocelyn Belanger,Compensation HIT for A39W71C7LPLRRQ(~ 1 minutes),1,$0.75,2019-11-11 14:23:09.328452
538,NishiLab,HIT for A11UBOE8N877JJ,1,$6.00,2018-12-11 00:00:00
539,W K Viscusi,Public Risk Survey 2019B,1,$1.90,2019-11-11 14:23:09.328514
540,James Carney,Mental States and Culture 2(~ 8 minutes),1,$1.50,2019-11-11 14:23:09.328519
541,MSRRedmond Labs,Re-tell us a story about an event in your life,1,$3.52,2019-11-18 13:23:09.328524
542,Memory Consortium,Compensation HIT(~ 1 minutes),1,$2.51,2019-11-08 14:23:09.328529
543,MLDataLabeler,Qualifying HIT for Semantic Segmentation Tasks - Up to $2.00 Bonus!,1,$0.01,2019-11-08 14:23:09.328533
544,MLDataLabeler,Qualifying HIT for Bounding Box Tasks - Bonus up to $2.00 Depending on Performance!,1,$0.03,2019-11-08 14:23:09.328537
545,MLDataLabeler,Qualifying HIT for Named Entity Recognition Tasks - Bonus up to $2.00 Depending on Performance!,1,$0.01,2019-11-08 14:23:09.328542
546,Matthew Snyder,Compensation HIT for A3VNBFOI95P5SN(~ 1 minutes),1,$1.50,2019-11-08 14:23:09.328546
547,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
548,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
549,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
550,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
551,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
552,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
553,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
554,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
555,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
556,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
557,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
558,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
559,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
560,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
561,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
562,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-09-09 00:00:00
563,Rodrigo Dias,Compensation HIT for A31HZB0I5R758I(~ 1 minutes),1,$0.45,2019-11-08 14:23:09.328719
564,Meta Lab,Compensation HIT(~ 1 minutes),1,$0.75,2019-11-07 14:23:09.328724
565,Aykut Turkoglu,Answer a survey about a simple numeric game and complete a short questionnaire,1,$1.50,2019-11-18 00:23:09.328729
566,Martin Abel,Compensation HIT(~ 1 minutes),1,$2.90,2019-11-06 14:23:09.328734
567,Michael Clark,Student-Athlete Transition,1,$0.05,2019-09-07 00:00:00
568,Jason Dana,Compensation HIT for A20EU0UH5K3VGE(~ 1 minutes),1,$2.00,2019-11-06 14:23:09.328750
569,Jason Dana,Compensation HIT for A3GVUYY3TWRPZT(~ 1 minutes),1,$2.00,2019-11-06 14:23:09.328754
570,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
571,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
572,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
573,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
574,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
575,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
576,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
577,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
578,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
579,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
580,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
581,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
582,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
583,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
584,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
585,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
586,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
587,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
588,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
589,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
590,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
591,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-07 00:00:00
592,Language Understanding Lab,Provide questions based on sequence of images.,1,$0.08,2019-11-15 14:23:09.328981
593,Jaime Frischwasser,A short survey on coworkers,1,$0.35,2019-11-05 14:23:09.328986
594,Jeremy Pollack,Answer a 3-minute survey about conflict in your workplace,1,$0.25,2019-11-05 14:23:09.328990
595,Stephanie Chan-Ahuja,Compensation HIT(~ 1 minutes),1,$0.80,2019-11-05 14:23:09.328995
596,Decision Sciences,Compensation HIT(~ 1 minutes),1,$1.00,2019-11-05 14:23:09.328999
597,Kinga Makovi,Compensation HIT(~ 1 minutes),1,$0.05,2019-11-04 14:23:09.329003
598,Kinga Makovi,Compensation HIT(~ 1 minutes),1,$0.10,2019-11-04 14:23:09.329007
599,kevin mudd,Understand the want to pay student-athletes,1,$0.01,2019-10-20 00:00:00
600,Dylan Rice,Compensation HIT(~ 3 minutes),1,$2.35,2019-11-02 14:23:09.329025
601,Anteater Technologies LLC,We Need Photos of Informational Signs - English Language Only,1,$0.10,2019-11-01 14:23:09.329032
602,Memory Consortium,Compensation HIT(~ 1 minutes),1,$2.51,2019-11-02 14:23:09.329037
603,Memory Consortium,Compensation HIT(~ 1 minutes),1,$2.51,2019-11-02 14:23:09.329041
604,str11223344,Tell us what this item is - Soft Goods - Batch ID #30766,1,$0.07,2019-11-18 13:23:09.329045
605,str11223344,Tell us what this item is - Furniture - Batch ID #30764,1,$0.07,2019-11-18 12:23:09.329051
606,str11223344,Tell us what this item is - Electronics - Batch ID #30760,1,$0.09,2019-11-18 11:23:09.329058
607,SoundingBox (Change Sciences Group),"User Test, Requires Mic, Windows or Mac, 7d56e4b9",1,$8.00,2019-11-18 09:23:09.329064
608,Anteater Technologies LLC,We Need Photos of Directional Signs With Arrows In Them,1,$0.10,2019-10-31 14:23:09.329069
609,Anteater Technologies LLC,We Need Photos of Short/Small Receipts,1,$0.10,2019-10-31 14:23:09.329073
610,Peter Washington,Have a family member with autism? Get paid to refer them!,1,$1.50,2019-11-17 14:23:09.329077
611,Joel Ginn,Compensation HIT for A0223835ZWZNUV587DJU(~ 1 minutes),1,$1.00,2019-11-01 14:23:09.329081
612,SD & EoC Lab,Social attitudes in pictures,1,$2.50,2019-11-17 14:23:09.329086
613,Sajad Rezaei,All about Cryptocurrencies: A gamified survey on your personal view,1,$7.00,2019-11-05 14:23:09.329090
614,Acme Data Collection,"NATIVE MANDARIN CHINESE SPEAKERS, record 50 things you would say to a microwave. DO NOT READ THE PROMPTS. (20190502_SY_zh)",1,$3.25,2019-05-03 00:00:00
615,Yichi Zhang,Compensation HIT for A2O2Y99RA9GFUJ(~ 1 minutes),1,$1.50,2019-10-31 14:23:09.329107
616,Atefeh Yazdanparast,Online shopping behavior survey,1,$0.80,2019-11-11 14:23:09.329112
617,Mary Marshall,Payment HIT for Lapsed Timer(~ 5 minutes),1,$1.00,2019-10-31 14:23:09.329116
618,PickFu,"Take a 1-question survey (US-based, 45-54, Home Dwelling, Female, 35-44, 25-34, Apt Dwelling)",1,$0.10,2019-11-18 10:23:09.329121
619,Marketing,Yelp Survey Alain II(~ 5 minutes),1,$1.00,2019-09-01 00:00:00
620,Susan W Mcroy,Health Belief Texts Sentiment Analysis - Set 5 (Duration - 100 minutes),1,$0.03,2019-11-14 14:23:09.329138
621,Susan W Mcroy,Health Belief Texts Sentiment Analysis - Set 4 (Duration - 100 minutes),1,$0.03,2019-11-14 14:23:09.329143
622,Hillary Parent,Compensation HIT(~ 1 minutes),1,$0.60,2019-10-30 14:23:09.329147
623,Kellogg Kteily Lab,Compensation HIT for A23EEEX9LR9X6Z(~ 1 minutes),1,$2.00,2019-10-30 14:23:09.329151
624,Marketing,Yelp Survey Alain I(~ 5 minutes),1,$0.50,2019-08-31 00:00:00
625,UW Gaming Research Lab,Looking for Overwatch game players to answer a survey about loot boxes,1,$4.50,2019-11-15 14:23:09.329167
626,Yale Institute for Network Science,HIT for A2W3DI02JARCZM,1,$2.00,2018-11-29 00:00:00
627,Charles Ebert,Short Study (Approx. 4 minutes 30 seconds),1,$0.80,2019-10-13 00:00:00
628,parkseongkuk,[CORUS-TEST-1] data input behavior test,1,$1.00,2019-11-14 14:23:09.329194
629,Positly,Answer 20 Trivia Questions (~5 mins),1,$0.50,2019-11-18 11:23:09.329199
630,Scott,10 minute - Short and Easy Survey(~ 10 minutes),1,$0.10,2019-11-18 14:18:09.329204
631,AudioKite,Listen to a pop song and answer a survey about it.,1,$0.13,2019-11-18 14:18:09.329209
632,Kiara St. Cyr,How often do you buy these ingredients,1,$1.00,2019-10-29 14:23:09.329214
633,Yu Research Group,Compensation HIT(~ 1 minutes),1,$3.00,2019-10-29 14:23:09.329220
634,parkseongkuk,[CORUS-TEST-2] data input behavior test,1,$0.50,2019-11-14 14:23:09.329225
635,Yichi Zhang,Compensation HIT for A2O2Y99RA9GFUJ(~ 1 minutes),1,$1.50,2019-10-29 14:23:09.329229
636,Adam Oozeerally,Answer a survey about shopping for flights/holidays/hotels on mobile apps.,1,$1.00,2019-10-31 14:23:09.329234
637,ConsumerLabW,Compensation HIT(~ 1 minutes),1,$0.10,2019-10-28 14:23:09.329238
638,Blanco Services Development,Determine your own risk appetite,1,$0.50,2019-10-28 14:23:09.329242
639,Harriette Rothwell,Central American Philanthropic Environment Survey,1,$0.05,2019-11-17 14:23:09.329246
640,SurveyComet,Compensation HIT for A24B5UF6RMHYGX(~ 1 minutes),1,$0.30,2019-10-28 00:00:00
641,Acme Data Collection,FEMALE ONLY: Native French Canadian speakers: Make 10 short recordings (20191105_RH),1,$2.00,2019-11-07 14:23:09.329263
642,Acme Data Collection,Make 20 short recordings (20191112_SPY),1,$1.50,2019-11-13 14:23:09.329268
643,Kaitlyn,Political Participation,1,$0.25,2019-11-12 14:23:09.329272
644,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-28 00:00:00
645,Matthew Gallagher,Mental Health and Well-being in Veterans (ages 18-65)(~ 90 minutes),1,$5.00,2019-10-28 00:00:00
646,Carlos M. Salinas,Estudio Compra de Vehículos 2019,1,$0.11,2019-11-04 14:23:09.329299
647,SoundingBox (Change Sciences Group),"User Test, Requires Windows or Mac, 977e35e1",1,$2.00,2019-11-12 14:23:09.329303
648,str11223344,Tell us what this item is - General Contents - Batch ID #30667,1,$0.07,2019-11-12 14:23:09.329308
649,str11223344,Tell us what this item is - Soft Goods - Batch ID #30665,1,$0.07,2019-11-12 14:23:09.329312
650,Darren Thorpe,Task 3.0 Find Portfolio Company Website [Deals Backfill Prod],1,$0.04,2019-04-08 00:00:00
651,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329328
652,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329332
653,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329337
654,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329341
655,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329345
656,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329349
657,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329353
658,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329358
659,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329362
660,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329366
661,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329370
662,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329374
663,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329379
664,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329385
665,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329389
666,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329394
667,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329398
668,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329402
669,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329406
670,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329410
671,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329415
672,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329419
673,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329423
674,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329427
675,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329431
676,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329435
677,Simon Trang,SECOND PART: SURVEY ABOUT IT USAGE AT THE WORKPLACE,1,$2.00,2019-11-16 14:23:09.329440
678,Elana A Wohrstein,Workplace Personality Questionnaire,1,$1.00,2019-11-16 14:23:09.329444
679,Acme Data Collection,NATIVE SPANISH ONLY: Make 10 short recordings (20191112_RH_ES),1,$0.75,2019-11-12 14:23:09.329448
680,Acme Data Collection,"Native speakers of MANDARIN, make 10 short recordings (20191112_RH)",1,$0.75,2019-11-12 14:23:09.329453
681,AB Lab - University of Calgary,Compensation HIT(~ 1 minutes),1,$20.00,2019-10-26 00:00:00
682,SurveyComet,Compensation HIT for A3BOH90BIZF1IK(~ 1 minutes),1,$0.80,2019-10-26 00:00:00
683,van Anders Lab,Compensation HIT(~ 1 minutes),1,$1.00,2019-10-26 00:00:00
684,Panel,Extract purchased items from a shopping receipt,1,$0.08,2019-11-18 14:22:33.329491
685,Panel,Extract purchased items from a shopping receipt (3-5 items),1,$0.04,2019-11-18 14:22:32.329497
686,Hyeong-Gyu Choi,Answer a survey about your opinions about mental issues and people with mental issues,1,$0.70,2019-11-18 14:22:27.329501
687,Justin Murphy,Answer a survey about your opinions,1,$0.05,2019-11-18 14:13:09.329505
688,Merica,Testing the limits of visual attention,1,$0.15,2019-11-18 14:03:09.329510
689,Jun Hyun Ryoo,"Evaluate the Movie (~2 Minutes, $0.10)",1,$0.10,2019-11-18 13:59:09.329515
690,PL,Expose corporate owners in PDF filings,1,$0.15,2019-11-18 13:23:09.329522
691,mami,"Copy data (full adress) from a web site ""focusvision"" country by country (France, US, Japan), ...)",1,$0.03,2019-11-15 14:23:09.329527
692,Roman Welden,Survey about Human Behavior,1,$0.80,2019-11-18 13:23:09.329532
693,oakheart,Market Research Survey (3-min Short),1,$0.50,2019-11-08 14:23:09.329537
694,George Schmilinsky,7 Minute Survey,1,$0.05,2019-11-18 11:23:09.329541
695,Speechpad,Verbatim - Transcribe - A2801586 (Audio length: 1 minute),1,$1.00,2019-11-18 11:23:09.329546
696,Angela Listy,Education and Finance Survey (Not all respondents will qualify),1,$0.42,2019-11-18 11:23:09.329551
697,Christoph Trattner,Answer a survey about online recipes,1,$0.50,2019-11-18 09:23:09.329555
698,Eileen Wentink,Survey consumer behavior 5 minutes,1,$0.10,2019-11-18 08:23:09.329560
699,Wolfgang Kinkel,Test an iPhone stethoscope app,1,$1.00,2019-11-18 07:23:09.329565
700,Christoph Trattner,Answer a survey about online recipes,1,$0.50,2019-11-18 09:23:09.329572
701,Eileen Wentink,Survey consumer behavior 5 minutes,1,$0.10,2019-11-18 08:23:09.329577
702,Speechpad,Edit Video Captions A2804477 (Video length: 6 minutes 52 seconds),1,$2.00,2019-11-18 08:23:09.329581
703,Speechpad,Edit Video Captions A2804458 (Video length: 5 minutes 44 seconds),1,$2.00,2019-11-18 08:23:09.329586
704,Wolfgang Kinkel,Test an iPhone stethoscope app,1,$1.00,2019-11-18 07:23:09.329591
705,Speechpad,Verbatim - Transcribe - A2800900 (Audio length: 1 minute),1,$1.00,2019-11-18 07:23:09.329596
706,Gopala Krishna,sentences from jumbled words,1,$0.75,2019-11-18 06:23:09.329601
707,Shujun Li,PAltRoid: Mobile Apps Privacy Scoring (Survey),1,$4.00,2019-10-25 00:00:00
708,Shakhnoza,Marketing Research Survey,1,$0.05,2019-11-04 14:23:09.329622
709,Shakhnoza,Marketing Research Survey,1,$0.05,2019-11-04 14:23:09.329626
710,Vigneshwaran Subbaraju,Describle the step by step approach in achieving the household,1,$1.00,2019-11-18 02:23:09.329631
711,complexity,Putting photos in order,1,$0.50,2019-10-26 00:00:00
712,Ximing SHENG,Answer a survey about skincare products,1,$0.05,2019-11-17 23:23:09.329647
713,The Site Mechanics,Write a tweet,1,$0.25,2019-11-17 22:23:09.329653
714,salman saud alotaibi,Ethnic food truck survey. It would take 5-7 minutes. Get $0.10,1,$0.10,2019-11-17 19:23:09.329658
715,George A. Nikolaidis,Personality Assessment,1,$1.50,2019-10-23 00:00:00
716,UToledo Family & Child Development Lab,Survey about parenting and feeding in a two-parent household of preschool aged children. Obtain spouse/partner permission.,1,$0.01,2019-11-10 14:23:09.329674
717,Jerry,Compensation HIT(~ 1 minutes),1,$2.00,2019-10-25 00:00:00
718,Jerry,Compensation HIT(~ 1 minutes),1,$2.00,2019-10-25 00:00:00
719,Barbara Chaparro,Qualification for Media Satisfaction,1,$0.01,2019-11-17 14:23:09.329701
720,UM Survey,Quick survey about online social network use (must be a typical user of a social network to complete),1,$0.10,2019-11-17 14:23:09.329706
721,TechMT,Does the image contain a living room?,1,$0.01,2019-11-17 14:23:09.329710
722,Cardcow,Enter Photographer/Publisher Information for a Postcard,1,$0.02,2019-11-17 14:23:09.329714
723,PickFu,"Take a 1-question survey (US-based, Female)",1,$0.09,2019-11-18 14:13:09.329719
724,PickFu,"Take a 1-question survey (US-based, Dog Owner)",1,$0.10,2019-11-18 14:01:09.329723
725,Ali Momen,Assessing your perception of Human and Robot Stimuli,1,$0.25,2019-11-17 14:23:09.329728
726,UW Madison,Collect Smartphone Applications and Alexa Skills Information (Not for users who have completed our survey before),1,$7.00,2019-11-17 14:23:09.329733
727,Brian,Marketing survey,1,$1.00,2019-11-17 14:23:09.329739
728,Brian,Answer a survey about technology and work,1,$1.00,2019-11-17 14:23:09.329744
729,Cindy Guo,What Twitch Bot do Popular Streamers Use?,1,$0.10,2019-11-17 14:23:09.329748
730,Timo,Behavior of e-commerce consumers/users,1,$0.05,2019-11-17 14:23:09.329752
731,Neev,A Survey of Individual Judgment and Decision Making (2-3 minutes),1,$0.45,2019-11-05 14:23:09.329756
732,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
733,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
734,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
735,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
736,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
737,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
738,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
739,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
740,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
741,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
742,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
743,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
744,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
745,Matthew Gallagher,2nd Follow Up Survey on the Impact of Hurricane Harvey(~ 90 minutes),1,$6.00,2019-08-26 00:00:00
746,claire youjeong hong,A survey(6 min) based on a short video with sound,1,$0.64,2019-11-18 09:23:09.329910
747,KC Paterno,Answer a survey about your opinions,1,$0.01,2019-11-16 14:23:09.329915
748,IC3 AI team,Speech quality assessment - Part 1: Qualification stage,1,$0.25,2019-11-16 14:23:09.329920
749,AIG,Collect data from a Website,1,$0.05,2019-11-16 14:23:09.329924
750,a. l. macneill,Compensatory hit for worker ID A3RIR8EO1SDV3K (all other workers will be rejected),1,$0.07,2019-11-16 14:23:09.329929
751,Kouchaki Lab,Compensation for HIT on 10/24/19(~ 1 minutes),1,$0.57,2019-10-24 00:00:00
752,Lily,American Identity and Leadership Study,1,$0.85,2019-11-16 14:23:09.329945
753,CrowdLab,"Payment HIT for ""[Up to $4.25 in < 15 mins] Do a task with an AI as your partner""",1,$0.50,2019-11-16 14:23:09.329949
754,Brandi Schmidt,Answer a 3-minute survey about face masks!,1,$0.05,2019-11-16 14:23:09.329954
755,Sarah Jacobs,Answer a survey about potential new Breaded Fish 2 pack products for small households - Canada,1,$2.00,2019-11-16 14:23:09.329958
756,yanjun,Answer a survey about your opinions,1,$0.07,2019-11-16 14:23:09.329962
757,Cindy Guo,What Twitch Bot do Popular Streamers Use?,1,$0.01,2019-11-16 14:23:09.329966
758,WikiRealty,"Short Article Summary | Shelbyville, KY",1,$2.00,2019-11-18 12:23:09.329970
759,WikiRealty,"Short Article Summary | Roanoke, TX",1,$2.00,2019-11-18 12:23:09.329975
760,WikiRealty,"Short Article Summary | Wilmette, IL",1,$2.00,2019-11-18 12:23:09.329983
761,WikiRealty,"Short Article Summary | Mount Pleasant, SC",1,$2.00,2019-11-18 12:23:09.329988
